"countries","rank","gdp billinors"
"United States","1","22,996.1"
"United States","1","17,734.1"
"United States","1","4,937.4"
"United States","1","4,223.1"
"United States","1","3,186.9"
"United States","1","3,173.4"
"United States","1","2,937.5"
"United States","1","2,099.9"
"United States","1","1,990.8"
"United States","1","1,798.5"
"United States","1","1,775.8"
"United States","1","1,609.0"
"United States","1","1,542.7"
"United States","1","1,425.3"
"United States","1","1,293.0"
"United States","1","1,186.1"
"United States","1","1,018.0"
"United States","1","833.5"
"United States","1","815.3"
"United States","1","812.9"
"United States","1","674.0"
"United States","1","627.4"
"United States","1","599.9"
"United States","1","506.0"
"United States","1","498.6"
"United States","1","491.5"
"United States","1","482.4"
"United States","1","482.4"
"United States","1","481.6"
"United States","1","477.1"
"United States","1","440.8"
"United States","1","419.9"
"United States","1","416.3"
"United States","1","404.1"
"United States","1","397.1"
"United States","1","397.0"
"United States","1","394.1"
"United States","1","372.7"
"United States","1","368.1"
"United States","1","362.6"
"United States","1","358.9"
"United States","1","346.3"
"United States","1","317.1"
"United States","1","314.3"
"United States","1","299.2"
"United States","1","284.1"
"United States","1","282.3"
"United States","1","250.0"
"United States","1","249.9"
"United States","1","231.5"
"China","2","22,996.1"
"China","2","17,734.1"
"China","2","4,937.4"
"China","2","4,223.1"
"China","2","3,186.9"
"China","2","3,173.4"
"China","2","2,937.5"
"China","2","2,099.9"
"China","2","1,990.8"
"China","2","1,798.5"
"China","2","1,775.8"
"China","2","1,609.0"
"China","2","1,542.7"
"China","2","1,425.3"
"China","2","1,293.0"
"China","2","1,186.1"
"China","2","1,018.0"
"China","2","833.5"
"China","2","815.3"
"China","2","812.9"
"China","2","674.0"
"China","2","627.4"
"China","2","599.9"
"China","2","506.0"
"China","2","498.6"
"China","2","491.5"
"China","2","482.4"
"China","2","482.4"
"China","2","481.6"
"China","2","477.1"
"China","2","440.8"
"China","2","419.9"
"China","2","416.3"
"China","2","404.1"
"China","2","397.1"
"China","2","397.0"
"China","2","394.1"
"China","2","372.7"
"China","2","368.1"
"China","2","362.6"
"China","2","358.9"
"China","2","346.3"
"China","2","317.1"
"China","2","314.3"
"China","2","299.2"
"China","2","284.1"
"China","2","282.3"
"China","2","250.0"
"China","2","249.9"
"China","2","231.5"
"Japan","3","22,996.1"
"Japan","3","17,734.1"
"Japan","3","4,937.4"
"Japan","3","4,223.1"
"Japan","3","3,186.9"
"Japan","3","3,173.4"
"Japan","3","2,937.5"
"Japan","3","2,099.9"
"Japan","3","1,990.8"
"Japan","3","1,798.5"
"Japan","3","1,775.8"
"Japan","3","1,609.0"
"Japan","3","1,542.7"
"Japan","3","1,425.3"
"Japan","3","1,293.0"
"Japan","3","1,186.1"
"Japan","3","1,018.0"
"Japan","3","833.5"
"Japan","3","815.3"
"Japan","3","812.9"
"Japan","3","674.0"
"Japan","3","627.4"
"Japan","3","599.9"
